2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.integer_input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.float_input '浮点数输入测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.float_input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.boolean_input '布尔值输入测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.boolean_input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.dropdown_input '下拉选择测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.dropdown_input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.file_input '文件选择测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.file_input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.output_preview '输出预览测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.output_preview
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.data_source '数据源'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.data_source
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.string_processor '字符串处理'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.string_processor
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.math_calculator '数学计算'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.math_calculator
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: test.comprehensive '综合测试'
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 注册测试节点: test.comprehensive
2026-03-27 11:30:20 | INFO     | plugins.test_widgets | 共注册 12 个测试节点
2026-03-27 11:30:20 | INFO     | src.core.plugin_manager | 插件加载成功: test_widgets
2026-03-27 11:30:20 | INFO     | __main__ | 插件加载成功: test_widgets
2026-03-27 11:30:20 | INFO     | src.core.permission_manager | 批量授权: 插件 'text_processing' 获得权限: ['node.register']
2026-03-27 11:30:20 | INFO     | src.core.plugin_manager | 插件 'text_processing' 获得权限: ['node.register']
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: text.input '文本输入'
2026-03-27 11:30:20 | INFO     | plugins.text_processing | 注册节点: text.input
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: text.join '文本拼接'
2026-03-27 11:30:20 | INFO     | plugins.text_processing | 注册节点: text.join
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: text.upper '转大写'
2026-03-27 11:30:20 | INFO     | plugins.text_processing | 注册节点: text.upper
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: text.lower '转小写'
2026-03-27 11:30:20 | INFO     | plugins.text_processing | 注册节点: text.lower
2026-03-27 11:30:20 | INFO     | src.engine.node_engine | 注册节点类型: text.replace '文本替换'
2026-03-27 11:30:20 | INFO     | plugins.text_processing | 注册节点: text.replace
2026-03-27 11:30:20 | INFO     | src.core.plugin_manager | 插件加载成功: text_processing
2026-03-27 11:30:20 | INFO     | __main__ | 插件加载成功: text_processing
2026-03-27 11:30:20 | INFO     | src.ui.main_window | MainWindow 初始化完成
2026-03-27 11:30:20 | INFO     | __main__ | 主窗口显示
2026-03-27 11:30:23 | INFO     | src.ui.node_editor.scene | 场景已清空
2026-03-27 11:30:23 | INFO     | src.ui.node_editor.scene | 场景已同步: 0 节点, 0 连接
